INDEX PHOTON_ID_2 PHOTON_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 NaN NaN NaN
2 1 1 0 0 1 NaN NaN NaN
3 1 1 0 0 2 NaN NaN NaN
4 1 1 0 0 3 NaN NaN NaN
5 1 1 0 0 4 NaN NaN NaN
6 1 1 0 0 5 NaN NaN NaN
7 1 1 0 0 6 NaN NaN NaN
8 1 1 0 0 7 NaN NaN NaN
9 1 1 0 0 8 NaN NaN NaN
10 1 1 0 0 9 NaN NaN NaN
11 1 1 0 0 10 NaN NaN NaN
12 1 1 0 0 11 NaN NaN NaN
13 1 1 0 0 12 NaN NaN NaN
14 1 1 0 0 13 NaN NaN NaN
15 1 1 0 0 14 NaN NaN NaN
16 1 1 0 0 15 NaN NaN NaN
17 1 1 0 1 0 NaN NaN NaN
18 1 1 0 1 1 NaN NaN NaN
19 1 1 0 1 2 NaN NaN NaN
20 1 1 0 1 3 NaN NaN NaN
21 1 1 0 1 4 NaN NaN NaN
22 1 1 0 1 5 NaN NaN NaN
23 1 1 0 1 6 NaN NaN NaN
24 1 1 0 1 7 NaN NaN NaN
25 1 1 0 1 8 NaN NaN NaN
26 1 1 0 1 9 NaN NaN NaN
27 1 1 0 1 10 NaN NaN NaN
28 1 1 0 1 11 NaN NaN NaN
29 1 1 0 1 12 NaN NaN NaN
30 1 1 0 1 13 NaN NaN NaN
31 1 1 0 1 14 NaN NaN NaN
32 1 1 0 1 15 NaN NaN NaN
33 1 1 0 2 0 NaN NaN NaN
34 1 1 0 2 1 NaN NaN NaN
35 1 1 0 2 2 NaN NaN NaN
36 1 1 0 2 3 NaN NaN NaN
37 1 1 0 2 4 NaN NaN NaN
38 1 1 0 2 5 NaN NaN NaN
39 1 1 0 2 6 NaN NaN NaN
40 1 1 0 2 7 NaN NaN NaN
41 1 1 0 2 8 NaN NaN NaN
42 1 1 0 2 9 NaN NaN NaN
43 1 1 0 2 10 NaN NaN NaN
44 1 1 0 2 11 NaN NaN NaN
45 1 1 0 2 12 NaN NaN NaN
46 1 1 0 2 13 NaN NaN NaN
47 1 1 0 2 14 NaN NaN NaN
48 1 1 0 2 15 NaN NaN NaN
49 1 1 0 3 0 NaN NaN NaN
50 1 1 0 3 1 NaN NaN NaN
51 1 1 0 3 2 NaN NaN NaN
52 1 1 0 3 3 NaN NaN NaN
53 1 1 0 3 4 NaN NaN NaN
54 1 1 0 3 5 NaN NaN NaN
55 1 1 0 3 6 NaN NaN NaN
56 1 1 0 3 7 NaN NaN NaN
57 1 1 0 3 8 NaN NaN NaN
58 1 1 0 3 9 NaN NaN NaN
59 1 1 0 3 10 NaN NaN NaN
60 1 1 0 3 11 NaN NaN NaN
61 1 1 0 3 12 NaN NaN NaN
62 1 1 0 3 13 NaN NaN NaN
63 1 1 0 3 14 NaN NaN NaN
64 1 1 0 3 15 NaN NaN NaN
65 1 1 0 4 0 NaN NaN NaN
66 1 1 0 4 1 NaN NaN NaN
67 1 1 0 4 2 NaN NaN NaN
68 1 1 0 4 3 NaN NaN NaN
69 1 1 0 4 4 NaN NaN NaN
70 1 1 0 4 5 NaN NaN NaN
71 1 1 0 4 6 NaN NaN NaN
72 1 1 0 4 7 NaN NaN NaN
73 1 1 0 4 8 NaN NaN NaN
74 1 1 0 4 9 NaN NaN NaN
75 1 1 0 4 10 NaN NaN NaN
76 1 1 0 4 11 NaN NaN NaN
77 1 1 0 4 12 NaN NaN NaN
78 1 1 0 4 13 NaN NaN NaN
79 1 1 0 4 14 NaN NaN NaN
80 1 1 0 4 15 NaN NaN NaN
81 1 1 0 5 0 NaN NaN NaN
82 1 1 0 5 1 NaN NaN NaN
83 1 1 0 5 2 NaN NaN NaN
84 1 1 0 5 3 NaN NaN NaN
85 1 1 0 5 4 NaN NaN NaN
86 1 1 0 5 5 NaN NaN NaN
87 1 1 0 5 6 NaN NaN NaN
88 1 1 0 5 7 NaN NaN NaN
89 1 1 0 5 8 NaN NaN NaN
90 1 1 0 5 9 NaN NaN NaN
91 1 1 0 5 10 NaN NaN NaN
92 1 1 0 5 11 NaN NaN NaN
93 1 1 0 5 12 NaN NaN NaN
94 1 1 0 5 13 NaN NaN NaN
95 1 1 0 5 14 NaN NaN NaN
96 1 1 0 5 15 NaN NaN NaN
97 1 1 0 6 0 NaN NaN NaN
98 1 1 0 6 1 NaN NaN NaN
99 1 1 0 6 2 NaN NaN NaN
100 1 1 0 6 3 NaN NaN NaN
101 1 1 0 6 4 NaN NaN NaN
