INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 128.00000000 0.00000000 0.00000000
2 1 1 0 0 1 0.00000020 -0.00001585 0.00087718
3 1 1 0 0 2 0.00032279 0.00011911 0.00088596
4 1 1 0 0 3 0.00040507 0.00026126 0.00088617
5 1 1 0 0 4 0.00036953 0.00036461 0.00088164
6 1 1 0 0 5 0.00029181 0.00043309 0.00087099
7 1 1 0 0 6 0.00019793 0.00047513 0.00085845
8 1 1 0 0 7 0.00009939 0.00049760 0.00084848
9 1 1 0 0 8 0.00000000 0.00050376 0.00084530
10 1 1 0 0 9 -0.00009939 0.00049760 0.00084848
11 1 1 0 0 10 -0.00019793 0.00047513 0.00085845
12 1 1 0 0 11 -0.00029181 0.00043309 0.00087099
13 1 1 0 0 12 -0.00036953 0.00036461 0.00088164
14 1 1 0 0 13 -0.00040507 0.00026126 0.00088617
15 1 1 0 0 14 -0.00032279 0.00011911 0.00088596
16 1 1 0 0 15 -0.00000020 -0.00001585 0.00087718
17 1 1 0 1 0 -0.00000020 0.00001585 0.00087718
18 1 1 0 1 1 -0.00000000 0.00000000 0.00000000
19 1 1 0 1 2 -0.00004741 0.00008649 0.00017651
20 1 1 0 1 3 -0.00009250 0.00011733 0.00022255
21 1 1 0 1 4 -0.00012125 0.00010833 0.00024095
22 1 1 0 1 5 -0.00014098 0.00008326 0.00024679
23 1 1 0 1 6 -0.00015131 0.00005350 0.00024728
24 1 1 0 1 7 -0.00015615 0.00002333 0.00024642
25 1 1 0 1 8 -0.00015692 -0.00000616 0.00024606
26 1 1 0 1 9 -0.00015361 -0.00003771 0.00024670
27 1 1 0 1 10 -0.00014550 -0.00006839 0.00024792
28 1 1 0 1 11 -0.00013157 -0.00009848 0.00024805
29 1 1 0 1 12 -0.00010772 -0.00012350 0.00024346
30 1 1 0 1 13 -0.00006898 -0.00013457 0.00022877
31 1 1 0 1 14 -0.00001742 -0.00009838 0.00018671
32 1 1 0 1 15 0.00002076 -0.00000000 0.00003005
33 1 1 0 2 0 -0.00032279 -0.00011911 0.00088596
34 1 1 0 2 1 0.00004741 -0.00008649 0.00017651
35 1 1 0 2 2 -0.00000000 -0.00000000 0.00000000
36 1 1 0 2 3 -0.00002075 0.00004191 0.00008883
37 1 1 0 2 4 -0.00004111 0.00005075 0.00010701
